iter,ga,eda,tabu
1,3114.04,3112.01,3114.17
2,3114.04,3113.1,3134.78
3,3114.04,3108.77,3116.67
4,3114.04,3106.17,4119.67
5,3114.04,3103.56,3126.06
6,3113,3104.7,3114.2
7,3113,3101.5,4106.26
8,3113,3104.69,4132.81
9,3111.48,3105.13,5014.66
10,3111.48,3104.3,3124.66
11,3111.48,3101.07,3129.67
12,3111.48,3100,3128.13
13,3111.48,3100,5011.69
14,3111.48,3102,4129.99
15,3111.48,3101.5,5014.55
16,3111.48,3103.22,3123.78
17,3111.48,3100.52,3123.1
18,3111.48,3102.54,4123.88
19,3111.48,3100,4112.5
20,3111.05,3100.52,4115.45
21,3111.05,3100.95,4121.85
22,3111.05,3100,5017.28
23,3111.05,3100,4133
24,3111.05,3100.43,4115.12
25,3106.8,3100.52,4108.58
26,3106.8,3100.52,3112.31
27,3106.8,3100,3123.6
28,3106.8,3102.08,5008.4
29,3106.8,3100,3125.59
30,3106.8,3100.43,4122.89
31,3106.8,3100,4114.44
32,3106.8,3100,4109.27
33,3106.8,3100,3119.76
34,3106.8,3100.52,3116.94
35,3106.8,3100,4115.75
36,3106.8,3100,5017.56
37,3106.8,3100,3120.14
38,3106.8,3100.52,4129.37
39,3106.8,3100,4128.84
40,3106.8,3100,4119.33
41,3106.8,3100,4115.21
42,3106.8,3100.52,3112.75
43,3106.8,3100,3113.36
44,3106.8,3100,4120.07
45,3106.8,3100,5117.55
46,3106.8,3100.52,5013.35
47,3106.8,3100.43,3117.74
48,3106.8,3100.52,3125.57
49,3106.8,3100.43,3113.46
50,3106.8,3100,5011.75
51,3106.8,3100,3119.2
52,3106.8,3100.43,3118.84
53,3106.8,3100,4122.65
54,3106.8,3100,5012.65
55,3106.8,3100.43,3121.76
56,3106.8,3100,4120.27
57,3106.8,3100,4123.35
58,3106.8,3100,3124.62
59,3106.8,3100,5017.61
60,3106.8,3100.43,5023.52
61,3106.8,3100,4120.24
62,3105.32,3100,4111.79
63,3105.32,3100,3106.45
64,3105.32,3100,3125.5
65,3105.32,3100,3111.25
66,3105.32,3100,5012.85
67,3105.32,3100,5024.96
68,3105.32,3100,3120.75
69,3105.32,3100,4108.89
70,3105.32,3100,4109.19
71,3105.32,3100,3114.18
72,3105.32,3100,4132.88
73,3105.32,3100,3116.58
74,3105.32,3100,3117.68
75,3105.32,3100,3129.76
76,3105.32,3100,3111.23
77,3105.32,3100,3126.61
78,3105.32,3100,3114.79
79,3105.32,3100,3120.15
80,3105.32,3100,5013.27
81,3105.32,3100,3117.74
82,3105.32,3100,4111.57
83,3105.32,3100,5019.39
84,3105.32,3100,3110.75
85,3105.32,3100,4125.79
86,3105.32,3100,4123.18
87,3105.32,3100,3117.67
88,3105.32,3100,4114.85
89,3105.32,3100,4112.04
90,3105.32,3100,4128.33
91,3105.32,3100,5110.75
92,3105.32,3100,3129.92
93,3105.32,3100,5021.39
94,3105.32,3100,5123.42
95,3105.32,3100,3130.39
96,3105.32,3100,3106.98
97,3105.32,3100,4119.17
98,3105.32,3100,3121.3
99,3105.32,3100,4134.27
100,3105.32,3100,4120.23
